Sample	
Comments	
Filename	C:\WINDMAX\DATA\USERS\GEO\GEO_ER~1\Pyrenees\BULKMA~1\JA_08-C.raw
Goniometer	Ultima IV In-plane
Attachment	Auto sample changer (10 samples)
ScanningMode	2Theta/Theta
ScanningType	Continuos Scanning
X-Ray	40kV/44mA
DivSlit	2/3deg.
DivH.L.Slit	10mm
SctSlit	2/3deg.
RecSlit	0.3mm
Start	16
Stop	44
Step	0.02
Speed	0.3
Offset	0
23.82	748.75
23.84	794.5
23.86	821.5
23.88	906
23.9	986
23.92	1027.25
23.94	1157.75
23.96	1285.5
23.98	1446.5
24	1559
24.02	1649.75
24.04	1714.25
24.06	1632
24.08	1630.25
24.1	1512.75
24.12	1348.25
24.14	1133.75
24.16	981.25
24.18	833.75
24.2	803.5
24.22	772.25
24.24	736
24.26	756.75
24.28	733.75
24.3	709.5
24.32	688.25
24.34	670
24.36	667.25
24.38	654.5
24.4	642.5
24.42	658.75
24.44	645
24.46	614.25
24.48	608.75
24.5	589
24.52	589
24.54	616.75
24.56	576
24.58	562.75
24.6	561.25
24.62	567.5
24.64	569.5
24.66	573
24.68	576.75
24.7	550.5
24.72	596.25
24.74	573
24.76	556
24.78	568.75
24.8	588.25
24.82	566.75
24.84	587.75
24.86	566.75
24.88	573
24.9	594
24.92	613.5
24.94	618
24.96	600.5
24.98	615.75
25	610.25
25.02	641.75
25.04	636.25
25.06	675.75
25.08	680.75
25.1	673.75
25.12	703.75
25.14	716.75
25.16	706.75
25.18	734
25.2	713
25.22	737.25
25.24	731.5
25.26	741
25.28	735
25.3	702.75
25.32	701.75
25.34	705.5
25.36	706.25
25.38	707
25.4	656.25
25.42	659.25
25.44	682.75
25.46	681.25
25.48	689
25.5	690
25.52	691.25
25.54	677
25.56	667
25.58	652
25.6	631
25.62	616.75
25.64	621.5
25.66	612.5
25.68	594
25.7	598
25.72	563
25.74	580.5
25.76	565.25
25.78	574.25
25.8	570.75
25.82	548.25
25.84	553
25.86	576.5
25.88	546.75
25.9	563.5
25.92	549.25
25.94	542.75
25.96	554.5
25.98	577.75
26	567.75
26.02	556
26.04	555.75
26.06	559
26.08	568.5
26.1	551.25
26.12	572.25
26.14	581
26.16	597
26.18	586.75
26.2	600.75
26.22	669.5
26.24	657.5
26.26	683.75
26.28	737.75
26.3	751.5
26.32	852.5
26.34	915.75
26.36	988.5
26.38	1098.25
26.4	1289
26.42	1442
26.44	1644.75
26.46	1891.5
26.48	2203.5
26.5	2617.5
26.52	3051.75
26.54	3543.25
26.56	4029
26.58	4638.5
26.6	5131
26.62	5604.75
26.64	5856
26.66	5933.75
26.68	5804
26.7	5492.75
26.72	4841
26.74	4135.75
26.76	3393.5
26.78	2701.5
26.8	2103.5
26.82	1664
26.84	1339.5
26.86	1137
26.88	955.25
26.9	901.25
26.92	839.5
26.94	756.5
26.96	730.75
26.98	728
27	688
27.02	677.25
27.04	662
27.06	662.5
27.08	676.75
27.1	631.5
27.12	630.5
27.14	616.75
27.16	599.5
27.18	619.75
27.2	599.5
27.22	625.75
27.24	601.25
27.26	605.75
27.28	584.25
27.3	571.5
27.32	612.75
27.34	602
27.36	595.75
27.38	617.75
27.4	597
27.42	613.25
27.44	601.5
27.46	611
27.48	619.25
27.5	611.5
27.52	627.5
27.54	618.25
27.56	617.5
27.58	616.75
27.6	646.25
27.62	674.5
27.64	667.25
27.66	719.25
27.68	693.25
27.7	731.5
27.72	760
27.74	778.25
27.76	791.75
27.78	853
27.8	838
27.82	866
27.84	869.25
27.86	894.25
27.88	884
27.9	876
27.92	875.5
27.94	889
27.96	863.5
27.98	842
28	823
28.02	790.75
28.04	761.25
28.06	736
28.08	707.25
28.1	716.75
28.12	689.75
28.14	683.5
28.16	696.75
28.18	684.5
28.2	713.5
28.22	685.5
28.24	657.25
28.26	676.75
28.28	691.75
28.3	668.5
28.32	647.25
28.34	640.75
28.36	628.25
