Sample	
Comments	
Filename	C:\WINDMAX\DATA\USERS\GEO\GEO_ER~1\Pyrenees\BULKMA~1\JA_08-M.raw
Goniometer	Ultima IV In-plane
Attachment	Auto sample changer (10 samples)
ScanningMode	2Theta/Theta
ScanningType	Continuos Scanning
X-Ray	40kV/44mA
DivSlit	2/3deg.
DivH.L.Slit	10mm
SctSlit	2/3deg.
RecSlit	0.3mm
Start	16
Stop	44
Step	0.02
Speed	0.3
Offset	0
23.16	1228
23.18	1219.25
23.2	1179.75
23.22	1190.75
23.24	1116.25
23.26	1120.25
23.28	1103
23.3	1096.5
23.32	1084.75
23.34	1089.25
23.36	1085.25
23.38	1089.5
23.4	1105
23.42	1040.5
23.44	1109.75
23.46	1096
23.48	1121
23.5	1109.75
23.52	1135.5
23.54	1149.75
23.56	1128.25
23.58	1168.75
23.6	1172
23.62	1163.75
23.64	1207.5
23.66	1254.25
23.68	1222.5
23.7	1239.75
23.72	1324.5
23.74	1339.5
23.76	1371.5
23.78	1422.5
23.8	1442.5
23.82	1452.75
23.84	1489.25
23.86	1592.25
23.88	1666.25
23.9	1712.5
23.92	1813
23.94	1876.75
23.96	1977.5
23.98	2021.75
24	2083.75
24.02	2031.25
24.04	1991.25
24.06	1881
24.08	1782
24.1	1670.5
24.12	1572.25
24.14	1471.5
24.16	1457.75
24.18	1401.25
24.2	1376.75
24.22	1315.75
24.24	1292
24.26	1255.25
24.28	1246.25
24.3	1222.5
24.32	1223.75
24.34	1213.5
24.36	1196.75
24.38	1206.75
24.4	1178
24.42	1173.5
24.44	1174.75
24.46	1134.5
24.48	1160.25
24.5	1131
24.52	1166.5
24.54	1140.5
24.56	1153.25
24.58	1153.25
24.6	1110.75
24.62	1156.5
24.64	1142.75
24.66	1164
24.68	1151.5
24.7	1186.75
24.72	1163.25
24.74	1178
24.76	1183.25
24.78	1180.75
24.8	1195
24.82	1218.75
24.84	1237.5
24.86	1233.5
24.88	1232.75
24.9	1280.5
24.92	1300.75
24.94	1320.25
24.96	1327
24.98	1346.5
25	1387.5
25.02	1416
25.04	1479.25
25.06	1507
25.08	1556.75
25.1	1582
25.12	1568.5
25.14	1574.5
25.16	1598.5
25.18	1620.75
25.2	1530.75
25.22	1560.5
25.24	1497
25.26	1499.25
25.28	1474.75
25.3	1465.25
25.32	1473.25
25.34	1449.75
25.36	1431.5
25.38	1449
25.4	1408.5
25.42	1403
25.44	1427.75
25.46	1378.25
25.48	1398.25
25.5	1378.75
25.52	1382
25.54	1346
25.56	1291.75
25.58	1290.25
25.6	1272.5
25.62	1236.75
25.64	1254.25
25.66	1230.25
25.68	1204
25.7	1203
25.72	1154.25
25.74	1164
25.76	1140.5
25.78	1152
25.8	1121.75
25.82	1128.25
25.84	1143.5
25.86	1128.25
25.88	1121.5
25.9	1131
25.92	1100.5
25.94	1064.25
25.96	1095
25.98	1112.25
26	1080.25
26.02	1119.25
26.04	1122.75
26.06	1119.75
26.08	1120
26.1	1127
26.12	1164
26.14	1196.5
26.16	1193.5
26.18	1194.75
26.2	1257.75
26.22	1287
26.24	1286.25
26.26	1341
26.28	1390.75
26.3	1447
26.32	1549.5
26.34	1665.25
26.36	1767
26.38	1908.75
26.4	2007
26.42	2261.75
26.44	2505
26.46	2764.5
26.48	3059.25
26.5	3333
26.52	3742
26.54	4115.5
26.56	4573
26.58	4956.25
26.6	5203.25
26.62	5333.75
26.64	5317.25
26.66	5195
26.68	4868.25
26.7	4502.5
26.72	3985.5
26.74	3597.5
26.76	3129.75
26.78	2747.5
26.8	2455.5
26.82	2253.75
26.84	1989
26.86	1913.25
26.88	1763.75
26.9	1686.5
26.92	1629.5
26.94	1546
26.96	1457.25
26.98	1436.25
27	1422
27.02	1372.75
27.04	1340.25
27.06	1296.5
27.08	1255.25
27.1	1269.75
27.12	1246.25
27.14	1227.25
27.16	1206.5
27.18	1200.25
27.2	1206.25
27.22	1169.75
27.24	1184
27.26	1177.75
27.28	1190.25
27.3	1188.75
27.32	1183
27.34	1179.25
