Index,T (C),P (kbars),log(10) f O2,mass (gm),rho (gm/cc),wt% SiO2,wt% TiO2,wt% Al2O3,wt% Fe2O3,wt% Cr2O3,wt% FeO,wt% MnO,wt% MgO,wt% NiO,wt% CoO,wt% CaO,wt% Na2O,wt% K2O,wt% P2O5,wt% H2O,wt% CO2,wt% SO3,wt% Cl2O-1,wt% F2O-1,G (kJ),H (kJ),S (J/K),V (cc),Cp (J/K),     diopside,clinoenstatit, hedenbergite,alumino-buffo,    buffonite,     essenite,      jadeite
132,1147.00,0.001,-6.921,6.5311,3.2472,49.0957,1.2266,5.0450,4.0911,0.0000,3.9406,0.0000,16.0459,0.0000,0.0000,20.2774,0.2776,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-104.965,-83.480,15.128,2.011,7.715,0.488912,0.179385,0.121467,0.076923,-0.008922,0.122394,0.019842
133,1146.00,0.001,-6.933,6.8639,3.2472,49.1138,1.2338,5.0254,4.0724,0.0000,3.9524,0.0000,16.0682,0.0000,0.0000,20.2553,0.2786,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-110.301,-87.745,15.894,2.114,8.108,0.488165,0.180242,0.121822,0.076913,-0.008522,0.121468,0.019912
134,1145.00,0.001,-6.945,7.1862,3.2472,49.1319,1.2406,5.0060,4.0538,0.0000,3.9641,0.0000,16.0905,0.0000,0.0000,20.2334,0.2796,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-115.469,-91.878,16.635,2.213,8.489,0.487427,0.181098,0.122175,0.076898,-0.008133,0.120554,0.019980
135,1144.00,0.001,-6.957,7.4986,3.2473,49.1502,1.2472,4.9866,4.0353,0.0000,3.9758,0.0000,16.1127,0.0000,0.0000,20.2115,0.2806,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-120.478,-95.885,17.353,2.309,8.859,0.486697,0.181953,0.122527,0.076878,-0.007752,0.119651,0.020047
136,1143.00,0.001,-6.969,7.8016,3.2473,49.1686,1.2536,4.9674,4.0168,0.0000,3.9875,0.0000,16.1350,0.0000,0.0000,20.1897,0.2815,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-125.333,-99.773,18.049,2.402,9.217,0.485974,0.182806,0.122877,0.076854,-0.007382,0.118760,0.020111
137,1142.00,0.001,-6.982,8.0954,3.2474,49.1870,1.2596,4.9483,3.9984,0.0000,3.9991,0.0000,16.1572,0.0000,0.0000,20.1680,0.2824,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-130.041,-103.545,18.723,2.493,9.564,0.485257,0.183659,0.123226,0.076824,-0.007021,0.117881,0.020174
138,1141.00,0.001,-6.994,8.3806,3.2474,49.2056,1.2654,4.9293,3.9800,0.0000,4.0107,0.0000,16.1793,0.0000,0.0000,20.1464,0.2833,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-134.610,-107.208,19.377,2.581,9.902,0.484546,0.184512,0.123575,0.076790,-0.006670,0.117013,0.020234
139,1140.00,0.001,-7.006,8.6576,3.2474,49.2243,1.2710,4.9103,3.9617,0.0000,4.0223,0.0000,16.2015,0.0000,0.0000,20.1248,0.2841,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-139.044,-110.766,20.011,2.666,10.229,0.483841,0.185365,0.123922,0.076751,-0.006328,0.116156,0.020293
140,1140.00,0.001,-7.006,8.6576,3.2474,49.2243,1.2710,4.9103,3.9617,0.0000,4.0223,0.0000,16.2015,0.0000,0.0000,20.1248,0.2841,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-139.044,-110.766,20.011,2.666,10.229,0.483841,0.185365,0.123922,0.076751,-0.006328,0.116156,0.020293
141,1139.00,0.001,-7.018,8.9265,3.2474,49.2430,1.2763,4.8915,3.9435,0.0000,4.0339,0.0000,16.2237,0.0000,0.0000,20.1032,0.2849,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-143.350,-114.223,20.626,2.749,10.547,0.483141,0.186218,0.124269,0.076708,-0.005995,0.115310,0.020350
142,1138.00,0.001,-7.031,9.1879,3.2475,49.2618,1.2814,4.8728,3.9253,0.0000,4.0454,0.0000,16.2458,0.0000,0.0000,20.0817,0.2857,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-147.533,-117.583,21.224,2.829,10.856,0.482445,0.187071,0.124616,0.076661,-0.005672,0.114475,0.020405
143,1137.00,0.001,-7.043,9.4420,3.2475,49.2808,1.2862,4.8542,3.9072,0.0000,4.0569,0.0000,16.2679,0.0000,0.0000,20.0602,0.2865,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-151.598,-120.852,21.804,2.907,11.157,0.481753,0.187926,0.124962,0.076609,-0.005357,0.113650,0.020457
144,1136.00,0.001,-7.055,9.6891,3.2475,49.2998,1.2909,4.8357,3.8892,0.0000,4.0685,0.0000,16.2901,0.0000,0.0000,20.0387,0.2872,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-155.550,-124.031,22.367,2.984,11.449,0.481065,0.188781,0.125307,0.076553,-0.005052,0.112837,0.020508
145,1135.00,0.001,-7.067,9.9294,3.2475,49.3189,1.2952,4.8174,3.8712,0.0000,4.0800,0.0000,16.3122,0.0000,0.0000,20.0173,0.2879,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-159.394,-127.126,22.915,3.058,11.733,0.480379,0.189638,0.125653,0.076494,-0.004755,0.112033,0.020557
