Index,T (C),P (kbars),log(10) f O2,mass (gm),rho (gm/cc),wt% SiO2,wt% TiO2,wt% Al2O3,wt% Fe2O3,wt% Cr2O3,wt% FeO,wt% MnO,wt% MgO,wt% NiO,wt% CoO,wt% CaO,wt% Na2O,wt% K2O,wt% P2O5,wt% H2O,wt% CO2,wt% SO3,wt% Cl2O-1,wt% F2O-1,G (kJ),H (kJ),S (J/K),V (cc),Cp (J/K),     chromite,    hercynite,    magnetite,       spinel,   ulvospinel
153,1128.00,0.001,-7.154,6.6337,4.3782,0.0000,9.7588,6.8064,49.0867,0.0000,21.4643,0.0000,12.8839,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-63.579,-43.433,14.378,1.515,6.594,0.000000,-0.509612,0.619378,0.644123,0.246110
154,1127.00,0.001,-7.167,6.7162,4.3778,0.0000,9.8381,6.7689,48.9892,0.0000,21.4987,0.0000,12.9051,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-64.376,-43.999,14.553,1.534,6.676,0.000000,-0.511402,0.618131,0.645168,0.248103
155,1126.00,0.001,-7.179,6.7954,4.3775,0.0000,9.9153,6.7320,48.8944,0.0000,21.5329,0.0000,12.9254,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-65.140,-44.542,14.721,1.552,6.755,0.000000,-0.513133,0.616920,0.646166,0.250046
156,1125.00,0.001,-7.192,6.8713,4.3772,0.0000,9.9906,6.6957,48.8022,0.0000,21.5669,0.0000,12.9447,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-65.871,-45.064,14.882,1.570,6.830,0.000000,-0.514805,0.615746,0.647119,0.251941
157,1124.00,0.001,-7.204,6.9442,4.3769,0.0000,10.0640,6.6599,48.7125,0.0000,21.6006,0.0000,12.9630,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-66.572,-45.564,15.036,1.587,6.902,0.000000,-0.516422,0.614607,0.648027,0.253789
158,1123.00,0.001,-7.217,7.0141,4.3767,0.0000,10.1355,6.6247,48.6252,0.0000,21.6342,0.0000,12.9803,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-67.243,-46.045,15.184,1.603,6.972,0.000000,-0.517982,0.613502,0.648891,0.255590
159,1122.00,0.001,-7.229,7.0812,4.3765,0.0000,10.2052,6.5900,48.5404,0.0000,21.6676,0.0000,12.9968,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-67.887,-46.506,15.325,1.618,7.038,0.000000,-0.519489,0.612430,0.649712,0.257346
160,1121.00,0.001,-7.242,7.1455,4.3763,0.0000,10.2731,6.5559,48.4579,0.0000,21.7008,0.0000,13.0123,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-68.503,-46.949,15.460,1.633,7.102,0.000000,-0.520942,0.611392,0.650491,0.259059
161,1120.00,0.001,-7.254,7.2073,4.3762,0.0000,10.3392,6.5223,48.3777,0.0000,21.7338,0.0000,13.0270,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-69.094,-47.375,15.590,1.647,7.163,0.000000,-0.522344,0.610384,0.651230,0.260729
162,1120.00,0.001,-7.254,7.2073,4.3762,0.0000,10.3392,6.5223,48.3777,0.0000,21.7338,0.0000,13.0270,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-69.094,-47.375,15.590,1.647,7.163,0.000000,-0.522344,0.610384,0.651230,0.260729
163,1121.00,0.001,-7.242,7.1455,4.3763,0.0000,10.2731,6.5559,48.4579,0.0000,21.7008,0.0000,13.0123,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-68.503,-46.949,15.460,1.633,7.102,0.000000,-0.520942,0.611392,0.650491,0.259059
164,1122.00,0.001,-7.229,7.0812,4.3765,0.0000,10.2052,6.5900,48.5404,0.0000,21.6676,0.0000,12.9968,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-67.887,-46.506,15.325,1.618,7.038,0.000000,-0.519489,0.612430,0.649712,0.257346
165,1123.00,0.001,-7.217,7.0141,4.3767,0.0000,10.1355,6.6247,48.6252,0.0000,21.6342,0.0000,12.9803,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-67.243,-46.045,15.184,1.603,6.972,0.000000,-0.517982,0.613502,0.648891,0.255590
166,1124.00,0.001,-7.204,6.9442,4.3769,0.0000,10.0640,6.6599,48.7125,0.0000,21.6006,0.0000,12.9630,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-66.572,-45.564,15.036,1.587,6.902,0.000000,-0.516422,0.614607,0.648027,0.253789
167,1125.00,0.001,-7.192,6.8713,4.3772,0.0000,9.9906,6.6957,48.8022,0.0000,21.5669,0.0000,12.9447,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-65.871,-45.064,14.882,1.570,6.830,0.000000,-0.514805,0.615746,0.647119,0.251941
168,1125.00,0.001,-7.192,6.8713,4.3772,0.0000,9.9906,6.6957,48.8022,0.0000,21.5669,0.0000,12.9447,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-65.871,-45.064,14.882,1.570,6.830,0.000000,-0.514805,0.615746,0.647119,0.251941
169,1126.00,0.001,-7.179,6.7954,4.3775,0.0000,9.9153,6.7320,48.8944,0.0000,21.5329,0.0000,12.9254,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-65.140,-44.542,14.721,1.552,6.755,0.000000,-0.513133,0.616920,0.646166,0.250046
170,1127.00,0.001,-7.167,6.7162,4.3778,0.0000,9.8381,6.7689,48.9892,0.0000,21.4987,0.0000,12.9051,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-64.376,-43.999,14.553,1.534,6.676,0.000000,-0.511402,0.618131,0.645168,0.248103
171,1128.00,0.001,-7.154,6.6337,4.3782,0.0000,9.7588,6.8064,49.0867,0.0000,21.4643,0.0000,12.8839,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-63.579,-43.433,14.378,1.515,6.594,0.000000,-0.509612,0.619378,0.644123,0.246110
172,1128.00,0.001,-7.154,6.6337,4.3782,0.0000,9.7588,6.8064,49.0867,0.0000,21.4643,0.0000,12.8839,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-63.579,-43.433,14.378,1.515,6.594,0.000000,-0.509612,0.619378,0.644123,0.246110
173,1127.00,0.001,-7.167,6.7162,4.3778,0.0000,9.8381,6.7689,48.9892,0.0000,21.4987,0.0000,12.9051,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-64.376,-43.999,14.553,1.534,6.676,0.000000,-0.511402,0.618131,0.645168,0.248103
174,1126.00,0.001,-7.179,6.7954,4.3775,0.0000,9.9153,6.7320,48.8944,0.0000,21.5329,0.0000,12.9254,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-65.140,-44.542,14.721,1.552,6.755,0.000000,-0.513133,0.616920,0.646166,0.250046
175,1125.00,0.001,-7.192,6.8713,4.3772,0.0000,9.9906,6.6957,48.8022,0.0000,21.5669,0.0000,12.9447,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-65.871,-45.064,14.882,1.570,6.830,0.000000,-0.514805,0.615746,0.647119,0.251941
176,1124.00,0.001,-7.204,6.9442,4.3769,0.0000,10.0640,6.6599,48.7125,0.0000,21.6006,0.0000,12.9630,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-66.572,-45.564,15.036,1.587,6.902,0.000000,-0.516422,0.614607,0.648027,0.253789
177,1123.00,0.001,-7.217,7.0141,4.3767,0.0000,10.1355,6.6247,48.6252,0.0000,21.6342,0.0000,12.9803,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-67.243,-46.045,15.184,1.603,6.972,0.000000,-0.517982,0.613502,0.648891,0.255590
178,1122.00,0.001,-7.229,7.0812,4.3765,0.0000,10.2052,6.5900,48.5404,0.0000,21.6676,0.0000,12.9968,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-67.887,-46.506,15.325,1.618,7.038,0.000000,-0.519489,0.612430,0.649712,0.257346
179,1121.00,0.001,-7.242,7.1455,4.3763,0.0000,10.2731,6.5559,48.4579,0.0000,21.7008,0.0000,13.0123,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-68.503,-46.949,15.460,1.633,7.102,0.000000,-0.520942,0.611392,0.650491,0.259059
180,1120.00,0.001,-7.254,7.2073,4.3762,0.0000,10.3392,6.5223,48.3777,0.0000,21.7338,0.0000,13.0270,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-69.094,-47.375,15.590,1.647,7.163,0.000000,-0.522344,0.610384,0.651230,0.260729
181,1120.00,0.001,-7.254,7.2073,4.3762,0.0000,10.3392,6.5223,48.3777,0.0000,21.7338,0.0000,13.0270,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-69.094,-47.375,15.590,1.647,7.163,0.000000,-0.522344,0.610384,0.651230,0.260729
182,1119.00,0.001,-7.267,7.2667,4.3761,0.0000,10.4037,6.4892,48.2997,0.0000,21.7667,0.0000,13.0408,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-69.659,-47.784,15.714,1.661,7.222,0.000000,-0.523695,0.609408,0.651929,0.262358
183,1118.00,0.001,-7.280,7.3237,4.3760,0.0000,10.4664,6.4566,48.2238,0.0000,21.7994,0.0000,13.0538,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-70.202,-48.176,15.833,1.674,7.278,0.000000,-0.524996,0.608462,0.652589,0.263946
184,1117.00,0.001,-7.292,7.3784,4.3760,0.0000,10.5276,6.4245,48.1500,0.0000,21.8319,0.0000,13.0659,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-70.721,-48.553,15.946,1.686,7.332,0.000000,-0.526250,0.607544,0.653211,0.265494
185,1116.00,0.001,-7.305,7.4310,4.3759,0.0000,10.5872,6.3929,48.0782,0.0000,21.8643,0.0000,13.0773,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-71.219,-48.915,16.056,1.698,7.384,0.000000,-0.527456,0.606655,0.653796,0.267005
186,1115.00,0.001,-7.318,7.4815,4.3759,0.0000,10.6453,6.3618,48.0085,0.0000,21.8966,0.0000,13.0879,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-71.695,-49.263,16.160,1.710,7.433,0.000000,-0.528617,0.605794,0.654345,0.268478
187,1114.00,0.001,-7.330,7.5300,4.3759,0.0000,10.7019,6.3311,47.9406,0.0000,21.9287,0.0000,13.0977,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-72.152,-49.597,16.260,1.721,7.481,0.000000,-0.529732,0.604958,0.654860,0.269914
188,1113.00,0.001,-7.343,7.5766,4.3760,0.0000,10.7570,6.3009,47.8746,0.0000,21.9607,0.0000,13.1068,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-72.589,-49.918,16.356,1.731,7.527,0.000000,-0.530805,0.604149,0.655340,0.271315
189,1112.00,0.001,-7.356,7.6214,4.3760,0.0000,10.8107,6.2712,47.8104,0.0000,21.9925,0.0000,13.1152,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-73.008,-50.226,16.448,1.742,7.570,0.000000,-0.531835,0.603365,0.655787,0.272682
190,1111.00,0.001,-7.368,7.6644,4.3761,0.0000,10.8631,6.2419,47.7479,0.0000,22.0242,0.0000,13.1229,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-73.409,-50.522,16.536,1.751,7.612,0.000000,-0.532823,0.602605,0.656202,0.274016
191,1110.00,0.001,-7.381,7.7058,4.3762,0.0000,10.9141,6.2130,47.6872,0.0000,22.0558,0.0000,13.1299,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-73.793,-50.806,16.620,1.761,7.653,0.000000,-0.533771,0.601869,0.656586,0.275316
192,1110.00,0.001,-7.381,7.7058,4.3762,0.0000,10.9141,6.2130,47.6872,0.0000,22.0558,0.0000,13.1299,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-73.793,-50.806,16.620,1.761,7.653,0.000000,-0.533771,0.601869,0.656586,0.275316
193,1109.00,0.001,-7.394,7.7455,4.3763,0.0000,10.9638,6.1846,47.6281,0.0000,22.0872,0.0000,13.1362,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-74.161,-51.079,16.700,1.770,7.692,0.000000,-0.534680,0.601155,0.656940,0.276585
194,1108.00,0.001,-7.407,7.7837,4.3765,0.0000,11.0123,6.1566,47.5706,0.0000,22.1186,0.0000,13.1420,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-74.513,-51.341,16.777,1.779,7.729,0.000000,-0.535551,0.600464,0.657263,0.277823
195,1107.00,0.001,-7.420,7.8214,4.3766,0.0000,11.0615,6.1286,47.5117,0.0000,22.1502,0.0000,13.1480,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-74.860,-51.600,16.853,1.787,7.765,0.000000,-0.536433,0.599753,0.657600,0.279080
196,1106.00,0.001,-7.432,7.8612,4.3766,0.0000,11.1173,6.0998,47.4426,0.0000,22.1833,0.0000,13.1569,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-75.233,-51.878,16.934,1.796,7.804,0.000000,-0.537466,0.598901,0.658067,0.280498
197,1105.00,0.001,-7.445,7.8993,4.3767,0.0000,11.1716,6.0715,47.3756,0.0000,22.2163,0.0000,13.1650,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-75.588,-52.144,17.011,1.805,7.841,0.000000,-0.538454,0.598076,0.658499,0.281879
198,1105.00,0.001,-7.445,7.8993,4.3767,0.0000,11.1716,6.0715,47.3756,0.0000,22.2163,0.0000,13.1650,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-75.588,-52.144,17.011,1.805,7.841,0.000000,-0.538454,0.598076,0.658499,0.281879
199,1104.00,0.001,-7.458,7.9357,4.3768,0.0000,11.2245,6.0436,47.3104,0.0000,22.2492,0.0000,13.1724,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-75.927,-52.399,17.085,1.813,7.877,0.000000,-0.539397,0.597278,0.658895,0.283223
200,1103.00,0.001,-7.471,7.9706,4.3769,0.0000,11.2759,6.0161,47.2470,0.0000,22.2820,0.0000,13.1790,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-76.249,-52.642,17.154,1.821,7.911,0.000000,-0.540296,0.596506,0.659257,0.284534
201,1102.00,0.001,-7.484,8.0039,4.3770,0.0000,11.3259,5.9891,47.1855,0.0000,22.3146,0.0000,13.1850,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-76.556,-52.874,17.221,1.829,7.943,0.000000,-0.541154,0.595758,0.659586,0.285810
202,1101.00,0.001,-7.497,8.0359,4.3771,0.0000,11.3746,5.9624,47.1256,0.0000,22.3472,0.0000,13.1902,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-76.847,-53.096,17.284,1.836,7.974,0.000000,-0.541971,0.595034,0.659883,0.287054
203,1100.00,0.001,-7.510,8.0664,4.3773,0.0000,11.4220,5.9362,47.0674,0.0000,22.3796,0.0000,13.1947,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-77.125,-53.309,17.344,1.843,8.003,0.000000,-0.542749,0.594333,0.660149,0.288267
204,1100.00,0.001,-7.510,8.0664,4.3773,0.0000,11.4220,5.9362,47.0674,0.0000,22.3796,0.0000,13.1947,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-77.125,-53.309,17.344,1.843,8.003,0.000000,-0.542749,0.594333,0.660149,0.288267
205,1099.00,0.001,-7.523,8.0958,4.3774,0.0000,11.4686,5.9103,47.0102,0.0000,22.4121,0.0000,13.1989,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-77.391,-53.513,17.402,1.849,8.032,0.000000,-0.543499,0.593645,0.660394,0.289460
206,1098.00,0.001,-7.536,8.1239,4.3776,0.0000,11.5140,5.8849,46.9543,0.0000,22.4444,0.0000,13.2024,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-77.645,-53.708,17.457,1.856,8.059,0.000000,-0.544213,0.592977,0.660611,0.290624
207,1097.00,0.001,-7.549,8.1509,4.3779,0.0000,11.5582,5.8598,46.9000,0.0000,22.4767,0.0000,13.2053,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-77.885,-53.895,17.509,1.862,8.084,0.000000,-0.544890,0.592331,0.660800,0.291760
208,1096.00,0.001,-7.562,8.1766,4.3781,0.0000,11.6013,5.8350,46.8472,0.0000,22.5089,0.0000,13.2076,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-78.114,-54.073,17.559,1.868,8.109,0.000000,-0.545532,0.591704,0.660961,0.292867
209,1095.00,0.001,-7.575,8.2013,4.3783,0.0000,11.6433,5.8107,46.7958,0.0000,22.5409,0.0000,13.2093,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-78.331,-54.243,17.606,1.873,8.132,0.000000,-0.546140,0.591097,0.661095,0.293947
210,1094.00,0.001,-7.588,8.2248,4.3786,0.0000,11.6841,5.7867,46.7458,0.0000,22.5729,0.0000,13.2105,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-78.537,-54.406,17.651,1.878,8.155,0.000000,-0.546714,0.590509,0.661204,0.295001
211,1093.00,0.001,-7.601,8.2474,4.3789,0.0000,11.7239,5.7631,46.6971,0.0000,22.6047,0.0000,13.2112,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-78.733,-54.561,17.693,1.883,8.176,0.000000,-0.547257,0.589940,0.661288,0.296029
212,1092.00,0.001,-7.614,8.2689,4.3792,0.0000,11.7627,5.7399,46.6496,0.0000,22.6365,0.0000,13.2113,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-78.918,-54.709,17.734,1.888,8.196,0.000000,-0.547767,0.589388,0.661348,0.297032
213,1091.00,0.001,-7.627,8.2895,4.3795,0.0000,11.8004,5.7170,46.6035,0.0000,22.6682,0.0000,13.2109,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-79.093,-54.850,17.772,1.893,8.215,0.000000,-0.548247,0.588853,0.661384,0.298010
214,1090.00,0.001,-7.640,8.3092,4.3798,0.0000,11.8373,5.6944,46.5585,0.0000,22.6998,0.0000,13.2101,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-79.259,-54.984,17.808,1.897,8.234,0.000000,-0.548698,0.588335,0.661398,0.298965
215,1090.00,0.001,-7.640,8.3092,4.3798,0.0000,11.8373,5.6944,46.5585,0.0000,22.6998,0.0000,13.2101,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-79.259,-54.984,17.808,1.897,8.234,0.000000,-0.548698,0.588335,0.661398,0.298965
216,1089.00,0.001,-7.654,8.3281,4.3802,0.0000,11.8731,5.6722,46.5147,0.0000,22.7312,0.0000,13.2088,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-79.416,-55.112,17.842,1.901,8.251,0.000000,-0.549120,0.587833,0.661390,0.299897
217,1088.00,0.001,-7.667,8.3461,4.3806,0.0000,11.9081,5.6503,46.4720,0.0000,22.7626,0.0000,13.2070,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-79.564,-55.234,17.875,1.905,8.268,0.000000,-0.549514,0.587347,0.661360,0.300807
218,1087.00,0.001,-7.680,8.3632,4.3809,0.0000,11.9421,5.6287,46.4305,0.0000,22.7939,0.0000,13.2048,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-79.704,-55.350,17.905,1.909,8.283,0.000000,-0.549881,0.586876,0.661310,0.301695
219,1086.00,0.001,-7.693,8.3797,4.3813,0.0000,11.9753,5.6074,46.3900,0.0000,22.8251,0.0000,13.2021,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-79.836,-55.461,17.934,1.913,8.298,0.000000,-0.550222,0.586419,0.661240,0.302562
220,1085.00,0.001,-7.706,8.3954,4.3817,0.0000,12.0077,5.5865,46.3505,0.0000,22.8563,0.0000,13.1991,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-79.961,-55.566,17.962,1.916,8.313,0.000000,-0.550537,0.585977,0.661151,0.303409
221,1084.00,0.001,-7.720,8.4104,4.3821,0.0000,12.0392,5.5658,46.3120,0.0000,22.8873,0.0000,13.1956,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-80.078,-55.666,17.988,1.919,8.326,0.000000,-0.550827,0.585548,0.661043,0.304236
222,1083.00,0.001,-7.733,8.4247,4.3826,0.0000,12.0700,5.5455,46.2745,0.0000,22.9182,0.0000,13.1918,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-80.188,-55.761,18.012,1.922,8.339,0.000000,-0.551093,0.585132,0.660917,0.305044
223,1082.00,0.001,-7.746,8.4383,4.3830,0.0000,12.1000,5.5254,46.2380,0.0000,22.9491,0.0000,13.1876,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-80.291,-55.851,18.035,1.925,8.351,0.000000,-0.551336,0.584730,0.660773,0.305833
224,1081.00,0.001,-7.760,8.4513,4.3834,0.0000,12.1292,5.5056,46.2024,0.0000,22.9798,0.0000,13.1830,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-80.387,-55.937,18.056,1.928,8.363,0.000000,-0.551555,0.584340,0.660612,0.306603
225,1080.00,0.001,-7.773,8.4638,4.3839,0.0000,12.1577,5.4861,46.1676,0.0000,23.0105,0.0000,13.1781,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-80.478,-56.018,18.076,1.931,8.373,0.000000,-0.551753,0.583962,0.660435,0.307356
226,1080.00,0.001,-7.773,8.4638,4.3839,0.0000,12.1577,5.4861,46.1676,0.0000,23.0105,0.0000,13.1781,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-80.478,-56.018,18.076,1.931,8.373,0.000000,-0.551753,0.583962,0.660435,0.307356
227,1079.00,0.001,-7.786,8.4756,4.3844,0.0000,12.1855,5.4668,46.1338,0.0000,23.0411,0.0000,13.1728,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-80.562,-56.095,18.095,1.933,8.384,0.000000,-0.551929,0.583596,0.660241,0.308092
228,1078.00,0.001,-7.800,8.4869,4.3849,0.0000,12.2126,5.4478,46.1008,0.0000,23.0716,0.0000,13.1672,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-80.641,-56.168,18.113,1.935,8.393,0.000000,-0.552084,0.583242,0.660032,0.308811
229,1077.00,0.001,-7.813,8.4977,4.3854,0.0000,12.2390,5.4291,46.0686,0.0000,23.1020,0.0000,13.1613,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-80.714,-56.237,18.129,1.938,8.402,0.000000,-0.552218,0.582898,0.659807,0.309513
230,1076.00,0.001,-7.827,8.5079,4.3859,0.0000,12.2648,5.4106,46.0372,0.0000,23.1324,0.0000,13.1550,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-80.782,-56.302,18.144,1.940,8.411,0.000000,-0.552333,0.582566,0.659567,0.310200
231,1075.00,0.001,-7.840,8.5176,4.3864,0.0000,12.2899,5.3924,46.0065,0.0000,23.1626,0.0000,13.1485,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-80.844,-56.364,18.158,1.942,8.419,0.000000,-0.552428,0.582244,0.659314,0.310870
232,1074.00,0.001,-7.853,8.5269,4.3869,0.0000,12.3145,5.3744,45.9767,0.0000,23.1928,0.0000,13.1416,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-80.902,-56.422,18.172,1.944,8.427,0.000000,-0.552504,0.581933,0.659046,0.311526
233,1073.00,0.001,-7.867,8.5357,4.3874,0.0000,12.3384,5.3567,45.9475,0.0000,23.2229,0.0000,13.1345,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-80.954,-56.476,18.184,1.946,8.434,0.000000,-0.552562,0.581632,0.658764,0.312167
