Index,T (C),P (kbars),log(10) f O2,mass (gm),rho (gm/cc),wt% SiO2,wt% TiO2,wt% Al2O3,wt% Fe2O3,wt% Cr2O3,wt% FeO,wt% MnO,wt% MgO,wt% NiO,wt% CoO,wt% CaO,wt% Na2O,wt% K2O,wt% P2O5,wt% H2O,wt% CO2,wt% SO3,wt% Cl2O-1,wt% F2O-1,G (kJ),H (kJ),S (J/K),V (cc),Cp (J/K),     chromite,    hercynite,    magnetite,       spinel,   ulvospinel
102,1174.00,0.001,-6.600,0.9517,4.3063,0.0000,5.8686,11.5541,51.4368,0.0000,17.4715,0.0000,13.6689,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-9.599,-6.553,2.105,0.221,0.967,0.000000,-0.443772,0.632972,0.666459,0.144341
103,1173.00,0.001,-6.611,1.0854,4.3109,0.0000,5.9385,11.3236,51.5353,0.0000,17.6038,0.0000,13.5989,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-10.913,-7.444,2.398,0.252,1.101,0.000000,-0.445478,0.635144,0.664053,0.146281
104,1172.00,0.001,-6.623,1.2176,4.3153,0.0000,6.0074,11.1022,51.6261,0.0000,17.7329,0.0000,13.5314,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-12.203,-8.318,2.688,0.282,1.234,0.000000,-0.447105,0.637191,0.661719,0.148194
105,1171.00,0.001,-6.635,1.3480,4.3196,0.0000,6.0754,10.8895,51.7098,0.0000,17.8592,0.0000,13.4662,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-13.470,-9.175,2.974,0.312,1.364,0.000000,-0.448658,0.639122,0.659455,0.150081
106,1170.00,0.001,-6.646,1.4767,4.3237,0.0000,6.1424,10.6848,51.7871,0.0000,17.9826,0.0000,13.4031,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-14.712,-10.015,3.255,0.342,1.493,0.000000,-0.450141,0.640943,0.657256,0.151942
107,1170.00,0.001,-6.646,1.4767,4.3237,0.0000,6.1424,10.6848,51.7871,0.0000,17.9826,0.0000,13.4031,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-14.712,-10.015,3.255,0.342,1.493,0.000000,-0.450141,0.640943,0.657256,0.151942
108,1169.00,0.001,-6.658,1.6035,4.3277,0.0000,6.2085,10.4876,51.8583,0.0000,18.1034,0.0000,13.3421,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-15.931,-10.838,3.532,0.371,1.619,0.000000,-0.451560,0.642663,0.655119,0.153778
109,1168.00,0.001,-6.670,1.7285,4.3315,0.0000,6.2738,10.2976,51.9239,0.0000,18.2217,0.0000,13.2830,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-17.126,-11.643,3.804,0.399,1.743,0.000000,-0.452917,0.644287,0.653040,0.155590
110,1167.00,0.001,-6.682,1.8516,4.3353,0.0000,6.3381,10.1142,51.9843,0.0000,18.3376,0.0000,13.2257,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-18.297,-12.432,4.072,0.427,1.865,0.000000,-0.454217,0.645823,0.651016,0.157379
111,1166.00,0.001,-6.694,1.9727,4.3389,0.0000,6.4017,9.9372,52.0399,0.0000,18.4512,0.0000,13.1701,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-19.444,-13.205,4.336,0.455,1.985,0.000000,-0.455463,0.647275,0.649044,0.159144
112,1165.00,0.001,-6.705,2.0918,4.3425,0.0000,6.4644,9.7660,52.0909,0.0000,18.5625,0.0000,13.1162,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-20.567,-13.960,4.594,0.482,2.103,0.000000,-0.456657,0.648649,0.647122,0.160886
113,1164.00,0.001,-6.717,2.2089,4.3459,0.0000,6.5263,9.6006,52.1377,0.0000,18.6718,0.0000,13.0637,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-21.667,-14.699,4.848,0.508,2.219,0.000000,-0.457802,0.649949,0.645247,0.162606
114,1163.00,0.001,-6.729,2.3240,4.3492,0.0000,6.5874,9.4404,52.1805,0.0000,18.7790,0.0000,13.0127,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-22.742,-15.422,5.097,0.534,2.332,0.000000,-0.458901,0.651181,0.643416,0.164304
115,1162.00,0.001,-6.741,2.4370,4.3525,0.0000,6.6476,9.2853,52.2197,0.0000,18.8842,0.0000,12.9631,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-23.795,-16.129,5.341,0.560,2.444,0.000000,-0.459956,0.652347,0.641628,0.165980
116,1161.00,0.001,-6.753,2.6304,4.3541,0.0000,6.7472,9.1705,52.1541,0.0000,18.9808,0.0000,12.9474,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-25.653,-17.389,5.763,0.604,2.636,0.000000,-0.461695,0.651906,0.641225,0.168564
117,1160.00,0.001,-6.765,2.8373,4.3553,0.0000,6.8563,9.0679,52.0607,0.0000,19.0741,0.0000,12.9410,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-27.648,-18.743,6.214,0.651,2.843,0.000000,-0.463593,0.651032,0.641195,0.171365
118,1160.00,0.001,-6.765,2.8373,4.3553,0.0000,6.8563,9.0679,52.0607,0.0000,19.0741,0.0000,12.9410,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-27.648,-18.743,6.214,0.651,2.843,0.000000,-0.463593,0.651032,0.641195,0.171365
119,1159.00,0.001,-6.777,3.0358,4.3564,0.0000,6.9643,8.9680,51.9665,0.0000,19.1662,0.0000,12.9350,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-29.559,-20.041,6.646,0.697,3.041,0.000000,-0.465459,0.650137,0.641180,0.174141
120,1158.00,0.001,-6.789,3.2264,4.3575,0.0000,7.0712,8.8706,51.8717,0.0000,19.2569,0.0000,12.9296,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-31.391,-21.285,7.061,0.740,3.230,0.000000,-0.467293,0.649225,0.641179,0.176889
121,1157.00,0.001,-6.800,3.4095,4.3585,0.0000,7.1770,8.7756,51.7764,0.0000,19.3465,0.0000,12.9245,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-33.147,-22.479,7.459,0.782,3.413,0.000000,-0.469094,0.648296,0.641189,0.179610
122,1156.00,0.001,-6.812,3.5854,4.3595,0.0000,7.2817,8.6830,51.6807,0.0000,19.4348,0.0000,12.9198,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-34.832,-23.626,7.841,0.822,3.587,0.000000,-0.470864,0.647353,0.641208,0.182302
123,1155.00,0.001,-6.824,3.7544,4.3605,0.0000,7.3853,8.5925,51.5847,0.0000,19.5220,0.0000,12.9154,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-36.449,-24.726,8.208,0.861,3.755,0.000000,-0.472600,0.646399,0.641236,0.184966
124,1154.00,0.001,-6.836,3.9169,4.3615,0.0000,7.4877,8.5043,51.4886,0.0000,19.6081,0.0000,12.9113,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-38.001,-25.784,8.561,0.898,3.917,0.000000,-0.474304,0.645434,0.641269,0.187600
125,1153.00,0.001,-6.848,4.0732,4.3624,0.0000,7.5889,8.4181,51.3924,0.0000,19.6931,0.0000,12.9074,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-39.491,-26.800,8.899,0.934,4.072,0.000000,-0.475974,0.644461,0.641308,0.190205
126,1152.00,0.001,-6.860,4.2236,4.3633,0.0000,7.6890,8.3340,51.2963,0.0000,19.7771,0.0000,12.9037,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-40.923,-27.776,9.225,0.968,4.221,0.000000,-0.477612,0.643482,0.641350,0.192780
127,1151.00,0.001,-6.872,4.3684,4.3642,0.0000,7.7878,8.2517,51.2003,0.0000,19.8600,0.0000,12.9002,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-42.299,-28.716,9.538,1.001,4.364,0.000000,-0.479216,0.642496,0.641394,0.195326
128,1150.00,0.001,-6.885,4.5077,4.3650,0.0000,7.8855,8.1714,51.1044,0.0000,19.9419,0.0000,12.8968,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-43.622,-29.620,9.839,1.033,4.502,0.000000,-0.480788,0.641507,0.641440,0.197841
129,1150.00,0.001,-6.885,4.5077,4.3650,0.0000,7.8855,8.1714,51.1044,0.0000,19.9419,0.0000,12.8968,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-43.622,-29.620,9.839,1.033,4.502,0.000000,-0.480788,0.641507,0.641440,0.197841
130,1149.00,0.001,-6.897,4.6419,4.3659,0.0000,7.9820,8.0928,51.0088,0.0000,20.0228,0.0000,12.8935,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-44.894,-30.490,10.128,1.063,4.635,0.000000,-0.482327,0.640515,0.641486,0.200326
131,1148.00,0.001,-6.909,4.7711,4.3667,0.0000,8.0772,8.0160,50.9136,0.0000,20.1028,0.0000,12.8904,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-46.117,-31.327,10.407,1.093,4.763,0.000000,-0.483833,0.639520,0.641531,0.202781
132,1147.00,0.001,-6.921,4.8956,4.3675,0.0000,8.1713,7.9409,50.8187,0.0000,20.1818,0.0000,12.8873,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-47.294,-32.134,10.675,1.121,4.886,0.000000,-0.485306,0.638525,0.641575,0.205206
133,1146.00,0.001,-6.933,5.0157,4.3683,0.0000,8.2642,7.8674,50.7242,0.0000,20.2600,0.0000,12.8842,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-48.427,-32.911,10.933,1.148,5.004,0.000000,-0.486747,0.637530,0.641617,0.207600
134,1145.00,0.001,-6.945,5.1314,4.3690,0.0000,8.3558,7.7956,50.6302,0.0000,20.3372,0.0000,12.8812,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-49.517,-33.660,11.181,1.174,5.118,0.000000,-0.488156,0.636535,0.641656,0.209964
135,1144.00,0.001,-6.957,5.2429,4.3698,0.0000,8.4463,7.7252,50.5366,0.0000,20.4136,0.0000,12.8782,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-50.566,-34.381,11.421,1.200,5.228,0.000000,-0.489533,0.635542,0.641692,0.212299
136,1143.00,0.001,-6.969,5.3505,4.3705,0.0000,8.5355,7.6564,50.4436,0.0000,20.4892,0.0000,12.8753,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-51.577,-35.077,11.651,1.224,5.334,0.000000,-0.490878,0.634552,0.641723,0.214603
137,1142.00,0.001,-6.982,5.4543,4.3712,0.0000,8.6236,7.5890,50.3512,0.0000,20.5639,0.0000,12.8723,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-52.551,-35.748,11.873,1.248,5.436,0.000000,-0.492191,0.633564,0.641750,0.216877
138,1141.00,0.001,-6.994,5.5545,4.3719,0.0000,8.7105,7.5230,50.2594,0.0000,20.6378,0.0000,12.8692,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-53.489,-36.395,12.088,1.270,5.535,0.000000,-0.493474,0.632579,0.641773,0.219122
139,1140.00,0.001,-7.006,5.6511,4.3726,0.0000,8.7963,7.4584,50.1682,0.0000,20.7109,0.0000,12.8662,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-54.392,-37.019,12.294,1.292,5.630,0.000000,-0.494725,0.631598,0.641790,0.221337
140,1140.00,0.001,-7.006,5.6511,4.3726,0.0000,8.7963,7.4584,50.1682,0.0000,20.7109,0.0000,12.8662,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-54.392,-37.019,12.294,1.292,5.630,0.000000,-0.494725,0.631598,0.641790,0.221337
141,1139.00,0.001,-7.018,5.7444,4.3733,0.0000,8.8809,7.3952,50.0777,0.0000,20.7832,0.0000,12.8631,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-55.263,-37.621,12.493,1.314,5.721,0.000000,-0.495946,0.630622,0.641801,0.223523
142,1138.00,0.001,-7.031,5.8344,4.3740,0.0000,8.9643,7.3332,49.9878,0.0000,20.8547,0.0000,12.8599,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-56.102,-38.203,12.684,1.334,5.809,0.000000,-0.497138,0.629650,0.641807,0.225680
