Index,T (C),P (kbars),log(10) f O2,mass (gm),rho (gm/cc),wt% SiO2,wt% TiO2,wt% Al2O3,wt% Fe2O3,wt% Cr2O3,wt% FeO,wt% MnO,wt% MgO,wt% NiO,wt% CoO,wt% CaO,wt% Na2O,wt% K2O,wt% P2O5,wt% H2O,wt% CO2,wt% SO3,wt% Cl2O-1,wt% F2O-1,G (kJ),H (kJ),S (J/K),V (cc),Cp (J/K),     diopside,clinoenstatit, hedenbergite,alumino-buffo,    buffonite,     essenite,      jadeite
184,1117.00,0.001,-7.292,4.0935,3.2167,54.6520,0.4185,2.5552,1.8023,0.0000,7.6596,0.0000,31.5093,0.0000,0.0000,1.3728,0.0303,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-66.868,-53.349,9.725,1.273,5.194,-0.259239,0.946446,0.224283,0.038969,-0.016929,0.064415,0.002056
185,1116.00,0.001,-7.305,4.3330,3.2168,54.6588,0.4202,2.5491,1.7957,0.0000,7.6585,0.0000,31.5172,0.0000,0.0000,1.3700,0.0303,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-70.773,-56.479,10.290,1.347,5.498,-0.259133,0.946547,0.224243,0.038973,-0.016844,0.064155,0.002060
186,1115.00,0.001,-7.318,4.5647,3.2168,54.6656,0.4219,2.5432,1.7892,0.0000,7.6576,0.0000,31.5248,0.0000,0.0000,1.3673,0.0304,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-74.551,-59.508,10.836,1.419,5.791,-0.259032,0.946647,0.224208,0.038975,-0.016761,0.063899,0.002063
187,1114.00,0.001,-7.330,4.7890,3.2168,54.6723,0.4235,2.5372,1.7828,0.0000,7.6569,0.0000,31.5323,0.0000,0.0000,1.3646,0.0304,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-78.206,-62.442,11.364,1.489,6.075,-0.258937,0.946747,0.224180,0.038976,-0.016680,0.063646,0.002067
188,1113.00,0.001,-7.343,5.0062,3.2169,54.6789,0.4250,2.5314,1.7764,0.0000,7.6563,0.0000,31.5397,0.0000,0.0000,1.3619,0.0305,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-81.745,-65.284,11.875,1.556,6.351,-0.258846,0.946846,0.224156,0.038977,-0.016600,0.063397,0.002070
189,1112.00,0.001,-7.356,5.2166,3.2169,54.6855,0.4264,2.5255,1.7700,0.0000,7.6559,0.0000,31.5468,0.0000,0.0000,1.3592,0.0305,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-85.172,-68.038,12.370,1.622,6.617,-0.258760,0.946945,0.224138,0.038976,-0.016523,0.063150,0.002074
190,1111.00,0.001,-7.368,5.4206,3.2170,54.6920,0.4279,2.5198,1.7637,0.0000,7.6557,0.0000,31.5538,0.0000,0.0000,1.3566,0.0306,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-88.492,-70.708,12.848,1.685,6.875,-0.258679,0.947044,0.224124,0.038975,-0.016447,0.062908,0.002077
191,1110.00,0.001,-7.381,5.6183,3.2170,54.6984,0.4292,2.5140,1.7574,0.0000,7.6556,0.0000,31.5607,0.0000,0.0000,1.3539,0.0306,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-91.710,-73.298,13.312,1.746,7.126,-0.258603,0.947142,0.224115,0.038973,-0.016374,0.062668,0.002079
192,1110.00,0.001,-7.381,5.6183,3.2170,54.6984,0.4292,2.5140,1.7574,0.0000,7.6556,0.0000,31.5607,0.0000,0.0000,1.3539,0.0306,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-91.710,-73.298,13.312,1.746,7.126,-0.258603,0.947142,0.224115,0.038973,-0.016374,0.062668,0.002079
193,1109.00,0.001,-7.394,5.8100,3.2171,54.7048,0.4306,2.5084,1.7512,0.0000,7.6557,0.0000,31.5673,0.0000,0.0000,1.3513,0.0307,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-94.830,-75.810,13.761,1.806,7.368,-0.258532,0.947239,0.224111,0.038970,-0.016302,0.062431,0.002082
