0:15D-TEMPS,1:15D-NNO,2:21A-TEMP,3:21A-NNO
699,-0.42,774,0.28
692,-0.50,782,0.35
697,-0.46,775,0.30
694,-0.45,775,0.30
715,-0.23,769,0.24
690,-0.50,786,0.37
707,-0.32,770,0.26
688,-0.51,767,0.24
698,-0.41,769,0.26
691,-0.50,784,0.35
695,-0.45,778,0.29
699,-0.46,778,0.29
695,-0.51,772,0.23
712,-0.33,788,0.36
692,-0.53,780,0.33
702,-0.42,770,0.24
695,-0.51,772,0.26
699,-0.46,770,0.23
683,-0.41,761,0.16
703,-0.19,772,0.25
679,-0.46,776,0.28
695,-0.27,787,0.34
676,-0.47,780,0.28
679,-0.45,780,0.28
683,-0.41,774,0.23
694,-0.45,791,0.35
690,-0.50,755,0.40
707,-0.32,744,0.31
688,-0.51,747,0.33
698,-0.41,745,0.30
690,-0.49,737,0.23
695,-0.45,747,0.32
694,-0.45,754,0.37
714,-0.23,755,0.38
690,-0.50,751,0.36
706,-0.32,783,0.36
687,-0.51,777,0.30
697,-0.41,777,0.30
690,-0.50,770,0.24
694,-0.45,787,0.37
696,-0.46,781,0.36
717,-0.24,774,0.30
692,-0.51,774,0.30
709,-0.33,768,0.24
690,-0.52,785,0.37
689,-0.42,784,0.36
709,-0.20,777,0.30
685,-0.47,777,0.30
702,-0.29,771,0.24
683,-0.48,788,0.37
685,-0.46,772,0.27
690,-0.42,769,0.24
695,-0.45,771,0.26
715,-0.23,785,0.35
691,-0.50,778,0.29
708,-0.32,779,0.29
689,-0.52,772,0.23
691,-0.50,789,0.36
696,-0.45,778,0.38
691,-0.44,771,0.32
712,-0.22,771,0.32
687,-0.49,765,0.26
704,-0.30,782,0.39
685,-0.50,785,0.35
695,-0.40,779,0.29
688,-0.48,779,0.29
692,-0.44,773,0.23
694,-0.45,789,0.36
690,-0.50,781,0.33
707,-0.31,771,0.24
688,-0.51,773,0.26
698,-0.41,771,0.23
691,-0.49,762,0.16
695,-0.45,773,0.25
0,0.00,781,0.30
0,0.00,777,0.28
0,0.00,762,0.38
0,0.00,751,0.29
0,0.00,754,0.32
0,0.00,752,0.29
0,0.00,744,0.21
0,0.00,754,0.31
0,0.00,761,0.35
0,0.00,762,0.36
0,0.00,758,0.34
0,0.00,782,0.35
0,0.00,776,0.30
0,0.00,776,0.30
0,0.00,770,0.24
0,0.00,786,0.37
0,0.00,778,0.33
0,0.00,768,0.24
0,0.00,770,0.27
0,0.00,768,0.24
0,0.00,760,0.16
0,0.00,770,0.26
0,0.00,774,0.29
0,0.00,783,0.36
0,0.00,777,0.30
0,0.00,777,0.30
0,0.00,771,0.24
0,0.00,787,0.37
0,0.00,779,0.33
0,0.00,768,0.24
0,0.00,771,0.27
0,0.00,769,0.24
0,0.00,771,0.26
0,0.00,775,0.29
0,0.00,782,0.36
0,0.00,776,0.31
0,0.00,776,0.31
0,0.00,769,0.25
0,0.00,786,0.38
0,0.00,778,0.34
0,0.00,767,0.25
0,0.00,770,0.28
0,0.00,768,0.25
0,0.00,769,0.27
0,0.00,774,0.30
0,0.00,783,0.36
0,0.00,776,0.30
0,0.00,776,0.30
0,0.00,770,0.24
0,0.00,787,0.37
0,0.00,779,0.34
0,0.00,768,0.25
0,0.00,771,0.27
0,0.00,768,0.24
0,0.00,760,0.17
0,0.00,770,0.26
0,0.00,775,0.29
0,0.00,782,0.36
0,0.00,775,0.30
0,0.00,775,0.31
0,0.00,769,0.25
0,0.00,786,0.38
0,0.00,778,0.34
0,0.00,767,0.25
0,0.00,770,0.27
0,0.00,767,0.25
0,0.00,759,0.17
0,0.00,769,0.27
0,0.00,777,0.31
0,0.00,774,0.30
0,0.00,784,0.36
0,0.00,777,0.30
0,0.00,777,0.30
0,0.00,771,0.25
0,0.00,788,0.37
0,0.00,772,0.27
0,0.00,769,0.24
0,0.00,771,0.26
0,0.00,787,0.35
0,0.00,780,0.29
0,0.00,780,0.29
0,0.00,774,0.24
0,0.00,791,0.36
0,0.00,786,0.35
0,0.00,780,0.30
0,0.00,780,0.30
0,0.00,773,0.24
0,0.00,790,0.37
0,0.00,775,0.38
0,0.00,769,0.32
0,0.00,769,0.32
0,0.00,763,0.27
0,0.00,779,0.40
0,0.00,781,0.36
0,0.00,775,0.30
0,0.00,785,0.37
0,0.00,778,0.34
0,0.00,767,0.25
0,0.00,770,0.27
0,0.00,767,0.24
0,0.00,759,0.17
0,0.00,769,0.26
0,0.00,777,0.30
0,0.00,778,0.32
0,0.00,773,0.29
0,0.00,786,0.35
0,0.00,780,0.29
0,0.00,780,0.29
0,0.00,774,0.23
0,0.00,791,0.36
0,0.00,775,0.26
0,0.00,774,0.25
0,0.00,784,0.35
0,0.00,777,0.29
0,0.00,777,0.29
0,0.00,771,0.24
0,0.00,788,0.37
0,0.00,772,0.26
0,0.00,771,0.25
0,0.00,784,0.35
