0: 15D-TMTE-TiO2,1:15D-ILM-TiO2,2:15D-Temps,3:15D-NNO,4:21A-TMTE-TiO2,5:21A-ILM-TiO2,6:21A-temps,7:21A-NNO,8:19i-TMTE-TiO2,9:19i-ILM_bottom-TiO2,10:19i-ILM_top-TiO2,11:19i-temps_bottom,12:19i-NNO_bottom,13:19i-temps_top,14:19i-NNO_top,15:3D-TMTE-TiO2,16:3D-ILM-TiO2,17:3D-temps,18:3D-NNO,19:21F-TMTE-TiO2,20:21F-ILM-TiO2,21:21F-temps,22:21F-NNO,23:19G-TMTE,24:19G-ILM,25:19G-Temps,26:19G-NNO,27:19H-TMTE31,28:19H-TMTE32,29:19H-ILM,230:19H-31-temps,31:19H-31-NNO,32:19H-32-temps,33:19H-32-NNO,34:15D-TMTE-TiO2,35:15D-ILM-TiO2
0.00,0.00,0,0.00,8.93,0.00,795.041103,0.404451429,0.00,0.00,0.00,800.6338812,0.626862678,803.9467489,0.647590628,8.60,0.00,790.1877553,0.466313348,0.00,0.00,779.3066969,0.367324251,0,0,0,0,0,0,0,0,0,0,0,8.09,0.00
0.00,0.00,0,0.00,8.96,0.00,794.9681559,0.395564276,0.00,0.00,0.00,792.5597295,0.658176138,795.8075861,0.678736407,8.57,0.00,789.6302331,0.46494285,0.00,0.00,781.8713954,0.359716995,0,0,0,0,0,0,0,0,0,0,0,8.17,0.00
0.00,0.00,0,0.00,8.70,0.00,785.9512651,0.423670751,0.00,0.00,0.00,793.7197971,0.651038615,796.9758477,0.671626096,8.66,0.00,792.0637508,0.455370046,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,8.27,0.00
0.00,0.00,0,0.00,9.07,0.00,798.3221485,0.39194543,0.00,0.00,0.00,800.7627718,0.623732632,804.0765537,0.644462079,8.69,0.00,791.4433384,0.457076729,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,7.89,0.00
0.00,0.00,0,0.00,8.86,0.00,793.9044407,0.404827813,0.00,0.00,0.00,796.5479867,0.643183316,799.8264391,0.66383219,8.64,0.00,791.8251383,0.464267638,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,8.46,0.00
0.00,0.00,0,0.00,9.03,0.00,798.6019502,0.388210889,0.00,0.00,0.00,792.2918233,0.652472912,795.5384804,0.673021283,8.42,0.00,785.7151364,0.477681172,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,8.56,0.00
0.00,0.00,0,0.00,0.00,0.00,777.3955427,0.40628272,0.00,0.00,0.00,815.5298762,0.577324576,818.9606406,0.598348783,8.69,0.00,793.0135762,0.448979182,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,8.47,0.00
0.00,0.00,0,0.00,0.00,0.00,784.9655701,0.389613976,0.00,0.00,0.00,793.2554588,0.65636393,796.5093825,0.676936993,0.00,0.00,791.6300718,0.452502528,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,8.51,0.00
0.00,0.00,0,0.00,0.00,0.00,782.4360769,0.395053249,0.00,0.00,0.00,804.5991087,0.659117155,800.9511218,0.627765574,0.00,0.00,787.6008132,0.471449893,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,8.31,0.00
0.00,0.00,0,0.00,0.00,0.00,788.7123108,0.370287264,0.00,0.00,0.00,799.8333463,0.675683733,796.2215826,0.644381112,0.00,0.00,788.9988364,0.465278096,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,8.43,0.00
